Player 1,ABC
Player 2,DEF
really really long name,ABC
really really really really long name,ABC
Xenitan,ABC
IMpurestClub,WASD
IMpurestClubLongerThanLong,WASD
BRONZIE,
Samsam770,
Joestar484,
RagsEX,
Kunbuns,
thefinaluptake,
schmaw,
gleethus,
Shmaw,
ragsex,
Shmaw [L],
Toastybuns43,
Joan_Joestar,
Theeb,
Arkimas,
Infinite_Pyth0n,
Rpgamer,
Sena,
BRONZIE [L],
thefinaluptake [L],
k1ng_d4rk,
Kirlindies,
theofficialpasta,
Rubbermom,
k1ng_d4rk [L],
kilogragam,
AfroEX,
kilograham,
Kunbuns [L],
Philmore,
TheMexicanCowboy,
TheMexicanCowboy[L],
TheMexicanCowboy [L],
ImpurestClub,
Robinsino,
MadvillainFGC [L],
shmaw,
Infiltrator,
UNit,
Closer2,
Closer,
Infiltrator[L],
Infiltrator [L],
ddmjc1,
oddberry,
Vivid,
Perfeccion,
VividPeeks,
markcdfz23,
VibeBillions,
Perfección,
Peanut,
Closer [L],
NickGaKill,
Power,
__Inf1nite__,
Shinobuu__,
VividPeeks [L],
theanothonypowers,
PapaJan,
Hollowsoul,
Iceberg_FGC,
Iceberg_FGC [L],
MadvillainFGC,
Kenshi,
Harry Napper,
Giogio,
GioGio616,
BigBangusbanger,
CLoser,
PapaJan [L],
UGKSkii,
FightingPolygon,
Soulsong14,
DrippySage,
DrippySage [L],
Soulsong14 [L],
IMpurestClubdddddddddddddd,WASD
Tara,WASD
Taraaaaaaaaaaaaaaaaaaaaaaa,WASD
Taratorabara,WASD
huru,
hara,
haraasdsadasdasdas,
haraasdsadasdasdasasdasdasdad,
huruasdasdasdasdasdsadsadasdsad,
haraasdsadasdasd,
huruasdasdasdasdsadsadasdsad,
haraasdsathasdasd,
Rambutan,
Aceathonasdasdasdasdasdas,RRQ
Aceathoaen,
Rambutan hitam,ASEA
Tama,
Rura,
Tamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,
Rambutan hitammmmmmmmmm,ASEA
Abel,ABC
Robin  ,SSD
Niop,
Plead,
Abel2,ABC
Robin  d,SSD
AD,
SS,
ADER,
SSSS,
ADERA,
JugemuJugemuFuraiMatsu,
JugemuJugemuFuraiMatsuPonko,
Rembulan,
Temempik,
Rembulanratatatattataata,
Rembulanratatatattataataasdasdasdas,
Rembulanratatabodas,
Tarik,
Loki,
Tarikgoogoogaagaatakatorabata,
Lokigoogoogaagaatakatorabata,
Niopgoogoogaagaatakatorabata,
Tarikgoo ,
Lokigoogoo ,
TarikgooTarikgooTarikgoo,
Ias,
Ialson,
Iasassssssssssss,
Ialsonddddddddddddd,
Iasassssssssssssasdasdasdas,
Ialsonddddddddddddddsadsadsad,
GoofyGang,
LokiSonOfMischief,
BeakBreaker,
PushTheButton,
CrestShine,
Trismegistus,
YourLocalDude,
TryVeryHard,
12Percent,
